table_source,id_ligne,date,code_source,nom_source,parametre,raison_orphelin,proposition_action
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
